               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
107,0.035789,0.0078039,0,0.85404,0.97619,0.96064,0.58427,0.030047,0.0073828,0,0.0048257,0.0048257,0.040126
108,0.033913,0.0086715,0,0.99996,0.9881,0.99348,0.71637,0.02242,0.0072967,0,0.0048427,0.0048427,0.039543
109,0.030353,0.007181,0,0.95327,0.97619,0.98779,0.6096,0.026926,0.0071479,0,0.004859,0.004859,0.038959
110,0.030913,0.0067055,0,0.98809,0.98803,0.9911,0.73771,0.021319,0.0073109,0,0.0048747,0.0048747,0.038375
111,0.030299,0.007166,0,0.71926,0.97602,0.87466,0.48295,0.028617,0.0071746,0,0.0048897,0.0048897,0.03779
112,0.033134,0.0074208,0,0.97647,0.98796,0.98821,0.61386,0.024351,0.0070968,0,0.0049041,0.0049041,0.037204
113,0.029881,0.006946,0,1,0.98805,0.99035,0.78183,0.020174,0.0069518,0,0.0049178,0.0049178,0.036618
114,0.026046,0.0065818,0,0.70938,0.98798,0.8651,0.61111,0.027663,0.0066789,0,0.0049309,0.0049309,0.036031
115,0.031798,0.0071226,0,0.98809,0.98806,0.99103,0.75743,0.024286,0.0068593,0,0.0049433,0.0049433,0.035443
116,0.033937,0.0066279,0,0.96501,0.9881,0.98877,0.74268,0.023173,0.0072854,0,0.0049551,0.0049551,0.034855
117,0.030119,0.0074795,0,0.99984,0.9881,0.99183,0.78212,0.019064,0.0071465,0,0.0049662,0.0049662,0.034266
118,0.032527,0.0075181,0,0.99988,0.9881,0.98889,0.76564,0.02238,0.007008,0,0.0049767,0.0049767,0.033677
119,0.028455,0.0070688,0,0.98787,0.9881,0.99127,0.75362,0.022059,0.006997,0,0.0049865,0.0049865,0.033086
120,0.034915,0.0074773,0,1,0.98805,0.99206,0.71571,0.022509,0.0072499,0,0.0049957,0.0049957,0.032496
121,0.034478,0.0069961,0,1,0.98809,0.992,0.72481,0.022886,0.0069735,0,0.0050042,0.0050042,0.031904
122,0.026192,0.0069932,0,1,0.98804,0.99278,0.76679,0.019901,0.0066176,0,0.0050121,0.0050121,0.031312
